颈部前屈,颈部后仰,肩部上举范围,肩部前伸范围,肘部屈伸,手腕背伸,手腕桡偏/尺偏,背部屈曲范围,持续时间,重复频率,疲劳等级
20,60,35,41,135,17,13,17,1,208,2
43,65,1,42,54,37,9,27,1,236,2
38,23,22,42,148,51,0,37,1,252,2
1,8,57,73,43,39,29,49,1,238,2
8,15,111,70,85,34,7,42,2,97,2
44,85,100,85,98,10,7,44,1,58,1
56,64,37,7,40,0,22,44,2,167,2
30,38,53,35,169,39,23,44,2,143,2
0,0,174,8,170,10,12,43,1,298,2
41,15,128,10,41,10,18,40,2,97,2
41,21,72,79,100,21,11,32,1,291,2
33,8,177,66,48,42,28,40,1,219,2
31,28,41,106,71,0,24,38,2,120,2
7,46,12,54,61,57,23,5,1,216,2
26,69,21,60,155,7,30,40,1,197,2
27,80,168,118,174,11,15,26,1,285,2
7,2,23,67,5,29,2,9,9,26,2
28,73,124,102,169,12,4,22,3,39,1
9,37,138,62,155,14,6,28,2,110,2
17,57,102,106,75,46,0,40,1,278,2
32,12,166,27,9,3,14,50,6,9,1
1,5,75,48,171,44,5,23,1,211,2
11,78,171,7,11,46,2,0,1,273,2
3,56,146,22,151,17,15,19,1,210,2
42,44,167,118,152,6,13,36,20,1,1
50,57,172,84,81,16,0,52,1,236,2
42,51,131,83,140,31,18,4,7,22,2
5,42,87,88,97,10,8,35,1,259,2
46,17,145,29,163,57,15,60,1,202,2
25,68,165,0,59,51,6,32,5,56,2
20,66,47,7,85,51,0,0,1,106,0
30,16,42,83,135,3,23,9,1,233,2
5,29,114,46,69,37,23,60,7,21,2
30,80,1,0,170,19,24,18,1,284,2
36,26,152,70,48,55,22,48,4,40,2
55,2,175,8,155,11,15,45,1,283,2
34,27,124,0,88,43,27,29,1,287,2
30,1,101,64,19,41,9,47,2,164,2
3,16,117,22,42,51,5,11,4,56,2
3,35,25,48,56,59,29,35,1,209,2
57,90,44,95,76,23,7,41,1,231,2
49,5,123,92,50,56,5,36,1,225,2
20,69,178,0,176,44,30,15,1,289,2
0,7,15,68,11,40,17,14,1,184,2
30,11,9,41,40,29,7,12,1,227,2
8,58,0,85,33,51,30,39,1,137,2
17,59,145,16,11,36,28,46,2,139,2
2,63,131,45,68,35,0,4,1,25,1
26,33,27,38,134,43,15,25,1,250,2
43,20,23,10,32,49,10,25,2,52,1
3,79,143,111,177,0,5,39,1,212,2
